id,text,coding,sentiment
"""1465354930810765318""",Our curatorial team album cover!! A perfect first post-COVID outing with the fabulous @ARJ_Hawkins @DrOwenEmmerson @Alipalmer1979 https://t.co/QUdcG7ayFm,ot,x
"""1465354934233317385""","New Omicron Covid-19 variant could be less deadly than feared, top Russian scientistclaims https://t.co/yeS3Mj8vJ8",cd,p
"""1465354934497517575""","We invite all Parents, Guardians, Friends and Alumnis to Paint Night! Must be 21 and over and provide proof of Vaccine or Covid Test. To RSVP: Make cash, check, or credit card payable to Nazareth Regional High School or pay with Zelle: rborecky@nazarethrhs.org#paintandsip https://t.co/gI7GK2Iiqa",ot,x
"""1465354933255880706""",Probably best not to tell them that the SNP will be in charge until 2026 ...Covid Scotland: How much more bad news can Scotlands NHS take? https://t.co/ShnrFraHS9,pc,n
"""1465354932819836932""","Russia says Sputnik vaccine should work against Omicron, can produce boosters https://t.co/hHnqmZwMy9 https://t.co/BeLyDPC9RK",cs,p
"""1465354938607968258""",Cable Giant Spectrum Endangered Its Employees And Screwed Its Technicians During COVID | Techdirt https://t.co/jhIzZldXQj,cd,n
"""1465354939346128904""","WHO: Omicron Poses Very High Global Risk, World Must Prepare https://t.co/gb8Tpkjr6G via @Newsmax",cd,n
"""1465354940055015434""","COVID is both deadlier and more transmissible than the flu.Therefore, a hypothetical variant derive towards milder but more transmissible wouldnt make it another flu.It would make it a way more transmissible flu.",cd,x
"""1465354940507820033""",Omicron variant: California braces for COVID surge https://t.co/qtLrHOUYp9,cs,x
"""1465354946027556866""",Covid: Shares hit as new variant rattles investors https://t.co/6uHL45rxe8,cs,n
"""1465354946098905096""",Breaking:CDC releases images of the Unicron Covid-19 variant. https://t.co/H7N8ltAJLP,cs,x
"""1465354946556141579""",Urgent Poll: Should Boris Cancel Christmas To Protect Against COVID? Vote NOW Before The Poll Ends: https://t.co/HnFRzNvk0v,pc,x
"""1465354943922151431""","COVID-19 omicron variant wont stop New Zealands reopening plans, prime ministersays https://t.co/8ZHbAL9PLx",pc,p
"""1465354946128355334""",Covid causes a rise in late cancer diagnosis https://t.co/XlRCJ9logx,cs,n
"""1465354944685428737""","Make sure to check out our latest Monday Minders. This week we hold our 4th Quarter Business After Hours &amp; First Friday Breakfast! We also have an employer information session tomorrow on the federal vaccine mandates, which laws apply &amp; how to comply. https://t.co/vZRp1XIGdr https://t.co/sNQzi82WPg",ot,x
